SNO,PRODUCT NAME,BRAND NAME,RAM,STORAGE(ROM),DISPLAY,BATTERY,PRICE,PIC,quantity
1,Vivo Y91 (Nebula Purple),Vivo,3 GB,32 GB ,6.53 inch,4030 mAh,9990,images/Vivo_Y91.PNG,20
2,Vivo Z1Pro (Sonic Black),Vivo,4 GB ,64 GB,6.22 inch,5000 mAh,14990,images/Vivo_Z1Pro.PNG,20
3,Realme C2 (Diamond Black),Realme,2 GB ,16 GB,6.1 inch,4000 mAh,5999,images/Realme_C2.PNG,20
4,Realme 3i (Diamond Blue),Realme,4 GB ,64 GB,6.22 inch,4230 mAh ,9999,images/Realme_3i.PNG,20
5,Realme X (Polar White),Realme,8 GB,128 GB,6.53 inch,3765 mAh,19999,images/Realme_X.PNG,20
6,Realme 3 Pro (Nitro Blue),Realme,6 GB,64 GB,6.3 inch,4045 mAh,15999,images/Realme_3_Pro.PNG,20
7,Samsung Galaxy J6,Samsung,4 GB ,64 GB,5.6 inch,3000 mAh,9490,images/Samsung_Galaxy_J6.PNG,20
8,Samsung Galaxy On8 ,Samsung,4 GB ,64 GB,6 inch,3500 mAh ,11990,images/Samsung_Galaxy_On8.PNG,20
9,Samsung Galaxy A10,Samsung,2 GB ,32 GB ,6.2 inch,3400 mAh,7990,images/Samsung_Galaxy_A10.PNG,20
10,Samsung Galaxy M30 ,Samsung,4 GB ,64 GB,6.4 inch,5000 mAh ,15356,images/Samsung_Galaxy_M30.PNG,20
11,Samsung Galaxy A2 Core,Samsung,1 GB,16 GB,5 inch,2600 mAh,5290,images/Samsung_Galaxy_A2_Core.PNG,20
12,Honor 9 Lite (Sapphire Blue),Honor,3 GB,32 GB ,5.65 inch,3000 mAh ,7999,images/Honor_9_Lite.PNG,20
13,Honor 8C (Black),Honor,4 GB ,32 GB,6.26 inch,4000 mAh,7999,images/Honor_8C.PNG,20
14,OPPO F5 (Black),Oppo,6 GB,64 GB,6 inch,3200 mAh,24990,images/OPPO_F5.PNG,20
15,OPPO F11 Pro (Thunder Black),Oppo,6 GB,64 GB,6.5 inch,4000 mAh,20990,images/OPPO_F11_Pro.PNG,20
16,OPPO Reno 10x Zoom (Jet Black),Oppo,6 GB,128 GB,6.6 inch,4065 mAh,39990,images/OPPO_Reno_10x_Zoom.PNG,20
17,OPPO Find X ,Oppo,8 GB,256 GB,6.4 inch,3730 mAh,58990,images/OPPO_Find_X.PNG,20
18,OPPO F9 Pro (Sunrise Red),Oppo,6 GB,64 GB,6.3 inch,3500 mAh,20990,images/OPPO_F9_Pro.PNG,20
19,OPPO K1 (Astral Blue),Oppo,4 GB ,64 GB,6.41 inch,3600 mAh,20000,images/OPPO_K1.PNG,20
20,OPPO F5 Youth,Oppo,3 GB,32 GB,6 inch,3200 mAh ,20000,images/OPPO_F5_Youth.PNG,20
21,Moto Z Play with Style Mod,Moto,3 GB,32 GB,5.5 inch,3510 mAh ,21990,images/Moto_Z.PNG,20
22,Moto Z2 Force,Moto,6 GB,64 GB,5.5 inch,2730 mAh,21999,images/Moto_Z2_Force.PNG,20
23,Moto Turbo,Moto,3 GB,64 GB,5.2 inch,3900 mAh,31999,images/Moto_Turbo.PNG,20
24,Moto X4 (Super Black),Moto,3 GB,32 GB,5.2 inch,3000 mAh,20000,images/Moto_X4.PNG,20
25,Redmi K20 Pro (Carbon BlacK),Redmi,6 GB,128 GB,6.39 inch,4000 mAh,27999,images/Redmi K20 Pro.PNG,20
26,Mi Mix 2,Redmi,6 GB,128 GB,5.99 inch,3400 mAh ,29999,images/Mi_Mix_2.PNG,20
27,Asus Zenfone 2 ZE551ML,Asus,4 GB ,64 GB,5.5 inch,3000 mAh,22999,images/Asus_Zenfone.PNG,20
28,Asus 6Z (Black),Asus,6 GB ,64 GB,6.39 inch,5000 mAh,31999,images/Asus_6Z.PNG,20
29,Asus ROG (Black),Asus,8 GB,128 GB,6 inch,4000 mAh,69999,images/Asus_ROG.PNG,20
